949354,0
-69163,14783.8
-70905.8,2921.99
-71449.7,-3621.81
-62745.1,-13402.4
-70976.1,-18083.3
-57736.3,-30284.1
-63179.3,-59723.3
-59523.5,-49827.3
-59930.9,-45200.3
-55981.5,-91172.6
-26209.3,-114202
20019.5,-242258
23671.1,-1.34006e+06
-100365,442677
-116555,171543
-107337,110586
-102400,79522.7
-98336.9,66881.6
-128112,42194.5
-126018,53753.3
-117245,45415.7
-156131,40231.5
-160902,54911.1
-228709,63742.3
-346035,103307
-798127,517370
751900,-485116
62315.9,-185369
31648.1,-100164
-13349.4,-79270.2
-31257.7,-73444.3
-68700.3,-48461.9
-61796.9,-67538.4
-126815,-35108.9
-156478,-80942.6
-175978,-11207.3
-222288,-13460.3
-445298,-143523
-609318,388107
1.53633e+06,-335988
104667,-166458
143837,-40600.1
78188.8,-38230.7
33590.4,-57859.5
6447.31,-66105.2
14840,-22125
15984,-116334
-36844.3,-29850
-28821,-51622.4
-32268.1,-24327.3
-111893,-135731
-312341,572331
389399,-1.6878e+06
1.02212e+06,-1.44426e+06
-380856,-662715
-225459,-190032
-240713,-272713
-208969,-212320
-274943,-186126
-209524,-147141
-305169,-215700
-438070,-160063
-501977,-37327.4
-734603,-58317
-1.84365e+06,6078.4
-1.00647e+07,919435
3.76438e+06,-2.73632e+06
875095,-800713
563822,-406080
377715,-533959
222776,-422266
156306,-252901
248094,-425255
207993,-646910
108114,-398314
-215528,-215254
113768,-669036
-2.78139e+06,-1.28969e+06
4.05666e+06,2.42568e+06
1.55577e+06,688284
-2.00694e+06,324001
283626,231306
-121790,-337309
-35331.8,-321808
81301.4,-70688.5
-9986.64,-344413
157795,-557249
61661.1,-421373
-135824,-639986
-203519,-961125
-532246,-1.56147e+06
-595126,-3.13152e+06
6.80959e+06,3.0714e+06
1.01297e+06,1.64193e+06
464756,828254
580037,297966
342372,64176.1
289830,91708.8
400778,280149
449236,138579
275370,136448
459523,74779.2
555047,-31856.6
760253,-186430
592925,-226647
-3.42179e+06,6.21532e+06
-1.57015e+06,-704420
-818007,-43222.7
-386681,-213265
-192725,-197664
-61205.7,-456740
-106144,-93981.9
227562,-273841
225568,-440058
241611,-426808
81560,-699260
652749,-1.033e+06
-1.49972e+06,-447591
-2.80677e+06,-2.33097e+06
2.33735e+06,1.90345e+06
-128715,-545558
807103,-283354
240336,-700624
383762,-535784
